Заголовок,Ссылка на объявление,Цена
"
Сдам на длительный срок 1к. квартиру в новострое!
",https://www.olx.ua/obyavlenie/sdam-na-dlitelnyy-srok-1k-kvartiru-v-novostroe-IDEboTd.html#cbdb1e6ad6,"
6 021 грн.
"
"
Сдам на длительный срок 1к.квартиру,новострое(Рядом метро Ак.Павлова)
",https://www.olx.ua/obyavlenie/sdam-na-dlitelnyy-srok-1k-kvartiru-novostroeryadom-metro-ak-pavlova-IDB86w6.html#cbdb1e6ad6,"
5 500 грн.
"
"
Аренда квартиры м.Студенческая
",https://www.olx.ua/obyavlenie/arenda-kvartiry-m-studencheskaya-IDEE5vc.html#cbdb1e6ad6,"
7 322 грн.
"
"
Сдам квартиру после ремонта на Алексеевке.
",https://www.olx.ua/obyavlenie/sdam-kvartiru-posle-remonta-na-alekseevke-IDDWugT.html#cbdb1e6ad6,"
9 000 грн.
"
"
Спешите! Срочно сдам 1к. квартиру!
",https://www.olx.ua/obyavlenie/speshite-srochno-sdam-1k-kvartiru-IDAkeLe.html#cbdb1e6ad6,"
6 200 грн.
"
"
Долгосрочная аренда квартиры с евроремонтом.
",https://www.olx.ua/obyavlenie/dolgosrochnaya-arenda-kvartiry-s-evroremontom-IDBkiTo.html#cbdb1e6ad6,"
6 400 грн.
"
"
Сдам квартиру рядом с (м. Ак. Павлова)
",https://www.olx.ua/obyavlenie/sdam-kvartiru-ryadom-s-m-ak-pavlova-IDEbnpI.html#cbdb1e6ad6,"
5 759 грн.
"
"
Аренда Новая 3к.кв. Центр Новострой
",https://www.olx.ua/obyavlenie/arenda-novaya-3k-kv-tsentr-novostroy-IDEEYNC.html#d9dbf03656;promoted,"
18 000 грн.
"
"
Аренда Новая Шикарная 3 к.кв. Новострой Центр. 2 спальни
",https://www.olx.ua/obyavlenie/arenda-novaya-shikarnaya-3-k-kv-novostroy-tsentr-2-spalni-IDBgeBu.html#d9dbf03656;promoted,"
18 000 грн.
"
"
Сдам свою 1-ю квартиру в центре города, 5 мин. от метро
",https://www.olx.ua/obyavlenie/sdam-svoyu-1-yu-kvartiru-v-tsentre-goroda-5-min-ot-metro-IDEyatm.html#d9dbf03656;promoted,"
10 000 грн.
"
"
Сдаю стильную квартиру-студию
",https://www.olx.ua/obyavlenie/sdayu-stilnuyu-kvartiru-studiyu-IDEwFgK.html#d9dbf03656;promoted,"
5 765 грн.
"
"
Аренда 4-х комн. квартиры Харьков (центр) ул. Гиршмана
",https://www.olx.ua/obyavlenie/arenda-4-h-komn-kvartiry-harkov-tsentr-ul-girshmana-IDdYHZy.html#d9dbf03656;promoted,"
32 500 грн.
"
"
Сдам квартиру-студию в новострое. 5 минут от метро
",https://www.olx.ua/obyavlenie/sdam-kvartiru-studiyu-v-novostroe-5-minut-ot-metro-IDzzA6m.html#d9dbf03656,"
5 000 грн.
"
"
Арендуй уютную квартиру!
",https://www.olx.ua/obyavlenie/arenduy-uyutnuyu-kvartiru-IDEbmWr.html#d9dbf03656,"
5 000 грн.
"
"
Сдам свою двухкомнатную квартиру
",https://www.olx.ua/obyavlenie/sdam-svoyu-dvuhkomnatnuyu-kvartiru-IDEwtKz.html#d9dbf03656,"
7 000 грн.
"
"
Сдам квартиру в новострое, современный ремонт
",https://www.olx.ua/obyavlenie/sdam-kvartiru-v-novostroe-sovremennyy-remont-IDAgRgg.html#d9dbf03656,"
6 500 грн.
"
"
Впервые сдам 2х уровневую гостинку.
",https://www.olx.ua/obyavlenie/vpervye-sdam-2h-urovnevuyu-gostinku-IDBbWk1.html#d9dbf03656,"
7 400 грн.
"
"
Сдам 2комн. квартиру на Студенческой
",https://www.olx.ua/obyavlenie/sdam-2komn-kvartiru-na-studencheskoy-IDEE2o6.html#d9dbf03656,"
10 000 грн.
"
"
Сдаётся новенькая комфортабельная гостинка! 5 минут до метро!
",https://www.olx.ua/obyavlenie/sdaetsya-novenkaya-komfortabelnaya-gostinka-5-minut-do-metro-IDBlCjS.html#d9dbf03656,"
6 400 грн.
"
"
Сдается 1к квартира в современном новострое!
",https://www.olx.ua/obyavlenie/sdaetsya-1k-kvartira-v-sovremennom-novostroe-IDBj3xt.html#d9dbf03656,"
6 500 грн.
"
"
Сдам 1к.кв,м.Ак.Павлова
",https://www.olx.ua/obyavlenie/sdam-1k-kv-m-ak-pavlova-IDt0GRG.html#d9dbf03656,"
5 236 грн.
"
"
Сдам 1комнатную квартиру Салтовка м.Студенческая 2мин. E. S1
",https://www.olx.ua/obyavlenie/sdam-1komnatnuyu-kvartiru-saltovka-m-studencheskaya-2min-e-s1-IDDYPzQ.html#d9dbf03656,"
7 330 грн.
"
"
Аренда 3к.кв. Центр Новострой ул. Пушкинская
",https://www.olx.ua/obyavlenie/arenda-3k-kv-tsentr-novostroy-ul-pushkinskaya-IDwOhOk.html#d9dbf03656,"
26 178 грн.
"
"
Аренда 2к в стиле ""Loft"". Новострой ""Дом на набережной"" пер.Банный 1
",https://www.olx.ua/obyavlenie/arenda-2k-v-stile-loft-novostroy-dom-na-naberezhnoy-per-bannyy-1-IDBjFjg.html#d9dbf03656,"
26 000 грн.
"
"
Аренда 3к. Дизан.ремонт Центр Сумская Новострой Парковая зона, Паркинг
",https://www.olx.ua/obyavlenie/arenda-3k-dizan-remont-tsentr-sumskaya-novostroy-parkovaya-zona-parking-IDDWzMD.html#d9dbf03656,"
24 869 грн.
"
"
Аренда 2к.кв. Новострой
",https://www.olx.ua/obyavlenie/arenda-2k-kv-novostroy-IDxfvr8.html#d9dbf03656,"
15 000 грн.
"
"
Аренда 3к.кв. в Центре в Новострое м.Пушкинская
",https://www.olx.ua/obyavlenie/arenda-3k-kv-v-tsentre-v-novostroe-m-pushkinskaya-IDythd2.html#d9dbf03656,"
20 942 грн.
"
"
Сдам гостинку в новом доме на Салтовке
",https://www.olx.ua/obyavlenie/sdam-gostinku-v-novom-dome-na-saltovke-IDBoBAL.html#d9dbf03656,"
6 400 грн.
"
"
Сдаю гостинку в новом эко-доме
",https://www.olx.ua/obyavlenie/sdayu-gostinku-v-novom-eko-dome-IDBoIlP.html#d9dbf03656,"
5 759 грн.
"
"
Сдам квартиру, новый ремонт
",https://www.olx.ua/obyavlenie/sdam-kvartiru-novyy-remont-IDDARQL.html#d9dbf03656,"
5 000 грн.
"
"
Сдам комнату
",https://www.olx.ua/obyavlenie/sdam-komnatu-IDEDR17.html#d9dbf03656,"
1 800 грн.
"
"
Сдам шикарную 2х этажную квартиру-студию
",https://www.olx.ua/obyavlenie/sdam-shikarnuyu-2h-etazhnuyu-kvartiru-studiyu-IDEvh0m.html#d9dbf03656,"
6 545 грн.
"
"
Сдам свою 2 х комнатную квартиру в центре Харькова
",https://www.olx.ua/obyavlenie/sdam-svoyu-2-h-komnatnuyu-kvartiru-v-tsentre-harkova-IDEDWZB.html#d9dbf03656;promoted,"
13 089 грн.
"
"
Срочно сдам квартиру в стильном новострое
",https://www.olx.ua/obyavlenie/srochno-sdam-kvartiru-v-stilnom-novostroe-IDEveRg.html#d9dbf03656,"
5 759 грн.
"
"
Сдаю отличную малогабаритную квартиру
",https://www.olx.ua/obyavlenie/sdayu-otlichnuyu-malogabaritnuyu-kvartiru-IDEvexY.html#d9dbf03656,"
5 759 грн.
"
"
Сдаем капитальную квартиру в первом доме от метро Героев Труда!
",https://www.olx.ua/obyavlenie/sdaem-kapitalnuyu-kvartiru-v-pervom-dome-ot-metro-geroev-truda-IDEDTuE.html#d9dbf03656,"
6 500 грн.
"
"
Сдам уютную квартиру-студию
",https://www.olx.ua/obyavlenie/sdam-uyutnuyu-kvartiru-studiyu-IDEvdUi.html#d9dbf03656,"
5 759 грн.
"
"
Центр города, своя квартира, после ремонта
",https://www.olx.ua/obyavlenie/tsentr-goroda-svoya-kvartira-posle-remonta-IDDTVdz.html#d9dbf03656,"
9 500 грн.
"
"
Сдам квартиру в новострое возле ст. метро Ак. Павлова
",https://www.olx.ua/obyavlenie/sdam-kvartiru-v-novostroe-vozle-st-metro-ak-pavlova-IDEvdAo.html#d9dbf03656,"
5 759 грн.
"
"
Cдам малогабаритную квартиру в Новострое
",https://www.olx.ua/obyavlenie/cdam-malogabaritnuyu-kvartiru-v-novostroe-IDEvdo9.html#d9dbf03656,"
5 759 грн.
"
"
Срочно!Сдам 2х уровневую квартиру на Салтовке
",https://www.olx.ua/obyavlenie/srochno-sdam-2h-urovnevuyu-kvartiru-na-saltovke-IDB7NJZ.html#d9dbf03656,"
6 545 грн.
"
"
Сдам или продам
",https://www.olx.ua/obyavlenie/sdam-ili-prodam-IDDFyaF.html#d9dbf03656,"
18 344 грн.
"
"
Срочно сдам комн. м Гер.Труда 2500+ свет.
",https://www.olx.ua/obyavlenie/srochno-sdam-komn-m-ger-truda-2500-svet-IDDM4MT.html#d9dbf03656,"
2 500 грн.
"
"
Сдам 3 комнатную квартиру на Салтовке 524 мрн. возле  м. Героев Труда
",https://www.olx.ua/obyavlenie/sdam-3-komnatnuyu-kvartiru-na-saltovke-524-mrn-vozle-m-geroev-truda-IDEDN6m.html#d9dbf03656,"
6 000 грн.
"
"
Сдам 2х комнатную квартиру метро Студенческая
",https://www.olx.ua/obyavlenie/sdam-2h-komnatnuyu-kvartiru-metro-studencheskaya-IDEh0Xf.html#d9dbf03656,"
6 900 грн.
"
"
Сдам двухкомнатную М.Студенческая
",https://www.olx.ua/obyavlenie/sdam-dvuhkomnatnuyu-m-studencheskaya-IDEDF3I.html#d9dbf03656,"
9 000 грн.
"
"
Стильная квартира в новострое!
",https://www.olx.ua/obyavlenie/stilnaya-kvartira-v-novostroe-IDBecvl.html#d9dbf03656,"
6 022 грн.
"
"
Сдам квартиру на Киевской.
",https://www.olx.ua/obyavlenie/sdam-kvartiru-na-kievskoy-IDEDzXV.html#d9dbf03656,"
5 000 грн.
"
"
Сдам 1 ком. квартиру, рядом с центром
",https://www.olx.ua/obyavlenie/sdam-1-kom-kvartiru-ryadom-s-tsentrom-IDDrQAl.html#d9dbf03656,"
9 162 грн.
"
"
Без посредников! Сдам свою гостинку. Воробьёвы горы. м.Ак.Павлова
",https://www.olx.ua/obyavlenie/bez-posrednikov-sdam-svoyu-gostinku-vorobevy-gory-m-ak-pavlova-IDEDvPN.html#d9dbf03656,"
5 236 грн.
"
"
Сдам 1к кв
",https://www.olx.ua/obyavlenie/sdam-1k-kv-IDEDztr.html#d9dbf03656,"
8 000 грн.
"
"
Сдам 1-к.кв. м.Студенческая с евроремонтом
",https://www.olx.ua/obyavlenie/sdam-1-k-kv-m-studencheskaya-s-evroremontom-IDEGuSb.html#d1c04e554f;promoted,"
9 500 грн.
"
"
Аренда Новая 3к.кв. Центр Новострой
",https://www.olx.ua/obyavlenie/arenda-novaya-3k-kv-tsentr-novostroy-IDEEYNC.html#d1c04e554f;promoted,"
18 000 грн.
"
"
Аренда Центр Новой 2к. Новострой пл.Восстания
",https://www.olx.ua/obyavlenie/arenda-tsentr-novoy-2k-novostroy-pl-vosstaniya-IDEnW8W.html#d1c04e554f;promoted,"
13 089 грн.
"
"
Сдам 2х комн. квартиру в центре
",https://www.olx.ua/obyavlenie/sdam-2h-komn-kvartiru-v-tsentre-IDEEiCC.html#d1c04e554f;promoted,"
13 000 грн.
"
"
Центр аренда 2 х комн. кв. 75 м2 ул. Пушкинская 550$
",https://www.olx.ua/obyavlenie/tsentr-arenda-2-h-komn-kv-75-m2-ul-pushkinskaya-550-IDEy2aO.html#d1c04e554f;promoted,"
14 413 грн.
"
"
Сдам в аренду СВОЮ трехкомнатную квартиру
",https://www.olx.ua/obyavlenie/sdam-v-arendu-svoyu-trehkomnatnuyu-kvartiru-IDEDy8E.html#d1c04e554f,"
6 000 грн.
"
"
Сдам 1к.кв, в Центре по ул. Алчевских, 3 метро Пушкинская, Бекетова
",https://www.olx.ua/obyavlenie/sdam-1k-kv-v-tsentre-po-ul-alchevskih-3-metro-pushkinskaya-beketova-IDErKEI.html#d1c04e554f,"
10 471 грн.
"
"
Впервые сдам гостинку с евроремонтом
",https://www.olx.ua/obyavlenie/vpervye-sdam-gostinku-s-evroremontom-IDBcx72.html#d1c04e554f,"
6 014 грн.
"
"
сдам 3-к квартиру, район ХАИ (конечная автобуса№241, посад, школа №52)
",https://www.olx.ua/obyavlenie/sdam-3-k-kvartiru-rayon-hai-konechnaya-avtobusa241-posad-shkola-52-IDEDtgM.html#d1c04e554f,"
8 000 грн.
"
"
Сдам свою 3к.кв на Студенческой!
",https://www.olx.ua/obyavlenie/sdam-svoyu-3k-kv-na-studencheskoy-IDEDpjs.html#d1c04e554f,"
10 471 грн.
"
"
Срочно! Сдается изол. гостинка.
",https://www.olx.ua/obyavlenie/srochno-sdaetsya-izol-gostinka-IDBcvro.html#d1c04e554f,"
6 300 грн.
"
"
Сдам свою 2-х комн. квартиру. Центр (пушкинский вьезд, 4). 5 этаж.
",https://www.olx.ua/obyavlenie/sdam-svoyu-2-h-komn-kvartiru-tsentr-pushkinskiy-vezd-4-5-etazh-IDDW0ak.html#d1c04e554f,"
10 000 грн.
"
"
Сдам свою 2-х ком. квартиру м.Студенческая 2 мин.
",https://www.olx.ua/obyavlenie/sdam-svoyu-2-h-kom-kvartiru-m-studencheskaya-2-min-IDEmbC8.html#d1c04e554f,"
10 471 грн.
"
"
Сдам комнату на Студенческой можно паре
",https://www.olx.ua/obyavlenie/sdam-komnatu-na-studencheskoy-mozhno-pare-IDElNLl.html#d1c04e554f,"
2 700 грн.
"
"
Сдам гостинку Салтовка м.Студенчиская
",https://www.olx.ua/obyavlenie/sdam-gostinku-saltovka-m-studenchiskaya-IDElesw.html#d1c04e554f,"
3 200 грн.
"
"
Сдам стильную гостинку. Срочно!
",https://www.olx.ua/obyavlenie/sdam-stilnuyu-gostinku-srochno-IDBctKq.html#d1c04e554f,"
6 500 грн.
"
"
Сдается изол. гостинка в новом доме на Салтовке
",https://www.olx.ua/obyavlenie/sdaetsya-izol-gostinka-v-novom-dome-na-saltovke-IDBbZxe.html#d1c04e554f,"
6 200 грн.
"
"
Сдам 1-ю квартиру ( Киевская, Центр)
",https://www.olx.ua/obyavlenie/sdam-1-yu-kvartiru-kievskaya-tsentr-IDEDnBb.html#d1c04e554f,"
7 853 грн.
"
"
Квартира, гостинка Воробьёвы горы
",https://www.olx.ua/obyavlenie/kvartira-gostinka-vorobevy-gory-IDBPRhR.html#d1c04e554f;promoted,"
5 700 грн.
"
"
Сдам 2х уровневую квартиру.Ак.Павлова,Воробьевы Горы, гостинка,студия
",https://www.olx.ua/obyavlenie/sdam-2h-urovnevuyu-kvartiru-ak-pavlova-vorobevy-gory-gostinka-studiya-IDyh6C4.html#d1c04e554f,"
6 500 грн.
"
"
Аренда 2х ком кв. Пушкинская
",https://www.olx.ua/obyavlenie/arenda-2h-kom-kv-pushkinskaya-IDCdtRY.html#d1c04e554f,"
13 103 грн.
"
"
Сдам 1к.квартиру, рядом ст.м.Ак.Павлова.
",https://www.olx.ua/obyavlenie/sdam-1k-kvartiru-ryadom-st-m-ak-pavlova-IDsUZ4q.html#d1c04e554f,"
6 019 грн.
"
"
Шикарная квартира в центре города!Новострой
",https://www.olx.ua/obyavlenie/shikarnaya-kvartira-v-tsentre-goroda-novostroy-IDEktkB.html#d1c04e554f,"
12 999 грн.
"
"
Сдается гостинка в Новострое
",https://www.olx.ua/obyavlenie/sdaetsya-gostinka-v-novostroe-IDBbZ49.html#d1c04e554f,"
6 500 грн.
"
"
Сдам квартиру в Центре
",https://www.olx.ua/obyavlenie/sdam-kvartiru-v-tsentre-IDEkBXa.html#d1c04e554f,"
18 000 грн.
"
"
Сдам квартиру-студию в новом ЖК
",https://www.olx.ua/obyavlenie/sdam-kvartiru-studiyu-v-novom-zhk-IDBbXSN.html#d1c04e554f,"
6 300 грн.
"
"
Сдам,Свою гостинку. Воробьевы горы. НЕ АГЕНСТВО.СВОБОДНА
",https://www.olx.ua/obyavlenie/sdam-svoyu-gostinku-vorobevy-gory-ne-agenstvo-svobodna-IDy4Pp4.html#d1c04e554f,"
5 500 грн.
"
"
Сдам квартиру студию в ЖК воробьевы горы, м. Ак.Павлова.
",https://www.olx.ua/obyavlenie/sdam-kvartiru-studiyu-v-zhk-vorobevy-gory-m-ak-pavlova-IDyiCMs.html#d1c04e554f,"
5 495 грн.
"
"
Реальная 3 комн квартира. Аренда Капремонт. S=67м2 Героев Труда
",https://www.olx.ua/obyavlenie/realnaya-3-komn-kvartira-arenda-kapremont-s67m2-geroev-truda-IDEDe4E.html#d1c04e554f,"
9 944 грн.
"
"
Сдам 1км квартиру
",https://www.olx.ua/obyavlenie/sdam-1km-kvartiru-IDEiqas.html#d1c04e554f,"
7 000 грн.
"
"
Apartment for rent for foreign students.
",https://www.olx.ua/obyavlenie/apartment-for-rent-for-foreign-students-IDED8a2.html#d1c04e554f,"
6 625 грн.
"
"
Сдам квартиру
",https://www.olx.ua/obyavlenie/sdam-kvartiru-IDE3rwK.html#d1c04e554f,"
7 000 грн.
"
"
Аренда Супер 3ка в Новострой на Пушкинской с детской
",https://www.olx.ua/obyavlenie/arenda-super-3ka-v-novostroy-na-pushkinskoy-s-detskoy-IDtQRns.html#d1c04e554f,"
26 178 грн.
"
"
Сдам 1-ком. кв., Дружбы народов 238, Северная Салтовка, Героев Труда
",https://www.olx.ua/obyavlenie/sdam-1-kom-kv-druzhby-narodov-238-severnaya-saltovka-geroev-truda-IDErh1y.html#d1c04e554f,"
5 500 грн.
"
"
Сдам 2 х комнатную квартиру метро Бекетова
",https://www.olx.ua/obyavlenie/sdam-2-h-komnatnuyu-kvartiru-metro-beketova-IDECIT3.html#d1c04e554f,"
8 000 грн.
"
"
Аренда 1 кмн. кв- ры на Павловом Поле.
",https://www.olx.ua/obyavlenie/arenda-1-kmn-kv-ry-na-pavlovom-pole-IDECTRH.html#d1c04e554f,"
6 500 грн.
"
"
Аренда 2-ух кмн кв-ры возле метро ""Студенческая"".
",https://www.olx.ua/obyavlenie/arenda-2-uh-kmn-kv-ry-vozle-metro-studencheskaya-IDECSFK.html#d1c04e554f,"
6 500 грн.
"
"
Сдам 1 ком.кв м.Студенческая
",https://www.olx.ua/obyavlenie/sdam-1-kom-kv-m-studencheskaya-IDECR7m.html#d1c04e554f,"
4 500 грн.
"
"
Сдам 1к-квартиру салтовка 602мкр
",https://www.olx.ua/obyavlenie/sdam-1k-kvartiru-saltovka-602mkr-IDECPKI.html#d1c04e554f,"
5 000 грн.
"
"
Срочно сдам 1к гостинку
",https://www.olx.ua/obyavlenie/srochno-sdam-1k-gostinku-IDECPFy.html#d1c04e554f,"
5 200 грн.
"
"
Аренда 3 х комнатной квартиры (2 комнаты) м. Студенческая
",https://www.olx.ua/obyavlenie/arenda-3-h-komnatnoy-kvartiry-2-komnaty-m-studencheskaya-IDECFNC.html#d1c04e554f,"
10 000 грн.
"
"
Квартира на Героев Труда
",https://www.olx.ua/obyavlenie/kvartira-na-geroev-truda-IDECCff.html#d1c04e554f,"
13 000 грн.
"
"
Сдам 3-к кв.,м.Героев Труда
",https://www.olx.ua/obyavlenie/sdam-3-k-kv-m-geroev-truda-IDEkwIl.html#d1c04e554f,"
7 000 грн.
"
"
Сдам гостинку в центре
",https://www.olx.ua/obyavlenie/sdam-gostinku-v-tsentre-IDECu2p.html#d1c04e554f,"
4 500 грн.
"
"
Сдам свою шикарную 3-х комнатную кв-ру ,ремонт 2018 года, Пески,522мрн
",https://www.olx.ua/obyavlenie/sdam-svoyu-shikarnuyu-3-h-komnatnuyu-kv-ru-remont-2018-goda-peski-522mrn-IDCsYpH.html#e9b070e1ed;promoted,"
13 500 грн.
"
"
Аренда 3к.кв Центр м. Пушкинская ул. Гуданова
",https://www.olx.ua/obyavlenie/arenda-3k-kv-tsentr-m-pushkinskaya-ul-gudanova-IDEnPuN.html#e9b070e1ed;promoted,"
28 796 грн.
"
"
Сдам 2х комн. квартиру в центре
",https://www.olx.ua/obyavlenie/sdam-2h-komn-kvartiru-v-tsentre-IDEEiCC.html#e9b070e1ed;promoted,"
13 000 грн.
"
"
Собственник! Сдается 2-х комнатная квартира на Салтовке.
",https://www.olx.ua/obyavlenie/sobstvennik-sdaetsya-2-h-komnatnaya-kvartira-na-saltovke-IDEeLKl.html#e9b070e1ed;promoted,"
7 000 грн.
"
"
Аренда 4-х комн. квартиры Харьков (центр) ул. Гиршмана
",https://www.olx.ua/obyavlenie/arenda-4-h-komn-kvartiry-harkov-tsentr-ul-girshmana-IDdYHZy.html#e9b070e1ed;promoted,"
32 500 грн.
"
"
Сдам 2 комн. квартиру на Салтовке, м. Героев Труда 5 минут
",https://www.olx.ua/obyavlenie/sdam-2-komn-kvartiru-na-saltovke-m-geroev-truda-5-minut-IDECr74.html#e9b070e1ed,"
6 500 грн.
"
"
Сдам свою двуярусную квартиру, Воробьевы горы
",https://www.olx.ua/obyavlenie/sdam-svoyu-dvuyarusnuyu-kvartiru-vorobevy-gory-IDECog1.html#e9b070e1ed,"
7 330 грн.
"
"
Сдам в аренду квартиру-студию в ЖК Воробьевы Горы
",https://www.olx.ua/obyavlenie/sdam-v-arendu-kvartiru-studiyu-v-zhk-vorobevy-gory-IDECpgC.html#e9b070e1ed,"
5 241 грн.
"
"
Сдам комнату в общежитии Салтовка
",https://www.olx.ua/obyavlenie/sdam-komnatu-v-obschezhitii-saltovka-IDECeeU.html#e9b070e1ed,"
2 200 грн.
"
"
100% реальная 2-х уровнева гостинка на Воробьевых горах
",https://www.olx.ua/obyavlenie/100-realnaya-2-h-urovneva-gostinka-na-vorobevyh-gorah-IDEC1tA.html#e9b070e1ed,"
6 545 грн.
"
"
Сдам 2-ком. кварт. в 3 мин. от М. Студенческая, 522 м-н
",https://www.olx.ua/obyavlenie/sdam-2-kom-kvart-v-3-min-ot-m-studencheskaya-522-m-n-IDEBZwE.html#e9b070e1ed,"
5 000 грн.
"
"
Сдам квартиру в Центре, м. Пушкинская
",https://www.olx.ua/obyavlenie/sdam-kvartiru-v-tsentre-m-pushkinskaya-IDyM7po.html#e9b070e1ed,"
18 344 грн.
"
"
Сдам 2-ком. кв. в Центре с евроремонтом, вид на купол органного зала
",https://www.olx.ua/obyavlenie/sdam-2-kom-kv-v-tsentre-s-evroremontom-vid-na-kupol-organnogo-zala-IDEBVCL.html#e9b070e1ed,"
26 206 грн.
"
"
2 ком. квартира с дизайнерским евроремонтом, центр
",https://www.olx.ua/obyavlenie/2-kom-kvartira-s-dizaynerskim-evroremontom-tsentr-IDDGS3i.html#e9b070e1ed,"
13 500 грн.
"
"
100% реальная 1 ккв в 522 м/р возле м. Героев Труда, напротив Караван
",https://www.olx.ua/obyavlenie/100-realnaya-1-kkv-v-522-m-r-vozle-m-geroev-truda-naprotiv-karavan-IDEBP1W.html#e9b070e1ed,"
7 000 грн.
"
"
Сдам 1 комнатную квартиру, Евро-гостинка, ЖК Воробьевы Горы
",https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-kvartiru-evro-gostinka-zhk-vorobevy-gory-IDEBLQY.html#e9b070e1ed,"
5 300 грн.
"
"
Аренда 1комнатная квартира м.Студенческая
",https://www.olx.ua/obyavlenie/arenda-1komnatnaya-kvartira-m-studencheskaya-IDEBLBH.html#e9b070e1ed,"
7 853 грн.
"
"
Комната в квартире сдаётся
",https://www.olx.ua/obyavlenie/komnata-v-kvartire-sdaetsya-IDBm9N7.html#e9b070e1ed,"
1 900 грн.
"
"
Сдам комнату в аренду
",https://www.olx.ua/obyavlenie/sdam-komnatu-v-arendu-IDEj8Ud.html#e9b070e1ed,"
4 500 грн.
"
"
Сдам конату возле м, Пушкинская
",https://www.olx.ua/obyavlenie/sdam-konatu-vozle-m-pushkinskaya-IDEBJaK.html#e9b070e1ed,"
2 618 грн.
"
"
Сдам свою 1 - квартиру
",https://www.olx.ua/obyavlenie/sdam-svoyu-1-kvartiru-IDCOFrI.html#e9b070e1ed,"
6 000 грн.
"
"
Сдам комнату героев труда 7 минут
",https://www.olx.ua/obyavlenie/sdam-komnatu-geroev-truda-7-minut-IDEBH53.html#e9b070e1ed,"
2 200 грн.
"
"
Сдам 3к-квартиру салтовке М.героев труда
",https://www.olx.ua/obyavlenie/sdam-3k-kvartiru-saltovke-m-geroev-truda-IDEBH11.html#e9b070e1ed,"
8 300 грн.
"
"
Комната на салтовке можно для двоих
",https://www.olx.ua/obyavlenie/komnata-na-saltovke-mozhno-dlya-dvoih-IDEBGXC.html#e9b070e1ed,"
1 800 грн.
"
"
Сдам 1к на 4 месяца северная салтовка
",https://www.olx.ua/obyavlenie/sdam-1k-na-4-mesyatsa-severnaya-saltovka-IDEBGMY.html#e9b070e1ed,"
3 999 грн.
"
"
Сдам квартиру
",https://www.olx.ua/obyavlenie/sdam-kvartiru-IDEBtdU.html#e9b070e1ed,"
4 000 грн.
"
"
Сдам квартиру, метро Героев Труда
",https://www.olx.ua/obyavlenie/sdam-kvartiru-metro-geroev-truda-IDEBqGr.html#e9b070e1ed,"
5 500 грн.
"
"
2к Квартира.Новострой.м.Спортивная
",https://www.olx.ua/obyavlenie/2k-kvartira-novostroy-m-sportivnaya-IDDYAw1.html#e9b070e1ed,"
10 000 грн.
"
"
2к Квартира.Новострой на 23 августа
",https://www.olx.ua/obyavlenie/2k-kvartira-novostroy-na-23-avgusta-IDDZ5Wu.html#e9b070e1ed,"
13 089 грн.
"
"
2к.квартира.Центр,набережная
",https://www.olx.ua/obyavlenie/2k-kvartira-tsentr-naberezhnaya-IDDYAJP.html#e9b070e1ed,"
11 780 грн.
"
"
Срочно сдам гостинку на Жуковского, Академика Проскуры, ХАИ
",https://www.olx.ua/obyavlenie/srochno-sdam-gostinku-na-zhukovskogo-akademika-proskury-hai-IDEBjVM.html#e9b070e1ed,"
3 500 грн.
"
"
Сдам квартиру на Воробьевых Горах
",https://www.olx.ua/obyavlenie/sdam-kvartiru-na-vorobevyh-gorah-IDEBiFs.html#e9b070e1ed,"
5 759 грн.
"
"
Сдам 3-х к. квартиру м. Бекетова, ул Дарвина
",https://www.olx.ua/obyavlenie/sdam-3-h-k-kvartiru-m-beketova-ul-darvina-IDDmKjb.html#e9b070e1ed,"
18 325 грн.
"
"
Сдам свою квартиру
",https://www.olx.ua/obyavlenie/sdam-svoyu-kvartiru-IDEBgYj.html#e9b070e1ed,"
13 089 грн.
"
"
Сдам в аренду квартиру в Центре
",https://www.olx.ua/obyavlenie/sdam-v-arendu-kvartiru-v-tsentre-IDEBeJr.html#e9b070e1ed,"
31 379 грн.
"
"
Сдам 1к квартиру
",https://www.olx.ua/obyavlenie/sdam-1k-kvartiru-IDCxtwd.html#e9b070e1ed,"
6 000 грн.
"
"
1 комнатная квартира, м. Студенческая.
",https://www.olx.ua/obyavlenie/1-komnatnaya-kvartira-m-studencheskaya-IDEy25d.html#e9b070e1ed,"
7 000 грн.
"
"
Сдам 1к.к Шишковка ул.Рудика
",https://www.olx.ua/obyavlenie/sdam-1k-k-shishkovka-ul-rudika-IDEBc7b.html#e9b070e1ed,"
4 000 грн.
"
"
сдам свою квартиру ЦЕНТР
",https://www.olx.ua/obyavlenie/sdam-svoyu-kvartiru-tsentr-IDEBbQe.html#e9b070e1ed,"
9 686 грн.
"
"
Сдам свою 3-х комнатную квартиру метро Героев Труда
",https://www.olx.ua/obyavlenie/sdam-svoyu-3-h-komnatnuyu-kvartiru-metro-geroev-truda-IDEvYrJ.html#e9b070e1ed,"
9 900 грн.
"
"
Реальная квартира!Сдам 1 комнатную квартиру на ул. Чайковская.
",https://www.olx.ua/obyavlenie/realnaya-kvartira-sdam-1-komnatnuyu-kvartiru-na-ul-chaykovskaya-IDEhlbk.html#e9b070e1ed,"
6 000 грн.
"
